Timestamp,RMSE,Points_Used
8/28/2026 16:42,0.46,4
8/28/2026 16:45,0.25,4
8/28/2026 16:47,0.44,4
8/28/2026 16:50,0.36,4
8/28/2026 16:56,0.33,4
8/28/2026 16:59,0.63,4
8/28/2026 17:01,0.46,4
8/28/2026 17:04,0.26,4
8/28/2026 17:08,0.18,4
8/28/2026 17:12,0.29,4
8/28/2026 17:14,0.3,4
8/28/2026 17:17,0.5,4
8/28/2026 17:19,0.48,4
8/28/2026 17:21,0.34,4
8/28/2026 17:24,0.33,4
8/28/2026 17:26,0.16,4
8/28/2026 17:33,0.12,4
8/28/2026 18:18,0.3,4
8/28/2026 18:21,0.2,4
8/28/2026 18:23,0.33,4
8/28/2026 18:26,0.34,4
8/28/2026 18:28,0.31,4
