Timestamp,Total_Time_Seconds
2026-08-24 22:57:17,88.7
2026-08-24 23:04:35,88.7
2026-08-24 23:12:23,72.2
2026-08-26 22:21:31,86.9
2026-08-27 18:40:30,96.5
2026-08-27 19:13:16,80.6
2026-08-27 19:15:21,87.0
2026-08-27 19:19:09,95.6
2026-08-27 19:22:44,87.1
2026-08-27 19:25:30,97.4
2026-08-27 19:38:10,76.5
2026-08-27 20:18:16,73.6
2026-08-27 20:34:42,72.8
2026-08-27 20:49:01,88.8
2026-08-27 21:21:28,93.4
2026-08-27 21:23:18,98.7
2026-08-27 21:24:46,73.1
2026-08-27 21:26:40,108.5
2026-08-27 21:28:25,94.1
2026-08-27 21:30:19,73.1
2026-08-27 21:32:29,70.1
2026-08-27 22:16:16,88.9
2026-08-27 22:18:13,85.2
2026-08-27 22:22:02,111.3
2026-08-27 22:48:32,74.7
2026-08-27 23:24:37,82.2
2026-08-27 23:27:46,103.1
2026-08-27 23:30:33,103.0
2026-08-28 15:45:15,72.2
2026-08-28 17:12:20,85.7
2026-08-28 17:13:47,81.0
2026-08-28 19:03:53,66.8
2026-08-28 19:05:10,73.1
2026-08-28 19:06:18,63.3
2026-08-28 19:07:32,67.8
