Timestamp,Total_Time_Seconds
8/28/2026 16:43,120.8
8/28/2026 16:48,110.7
8/28/2026 16:51,112.7
8/28/2026 16:53,91.7
8/28/2026 16:57,139.3
8/28/2026 17:00,122.3
8/28/2026 17:02,129.6
8/28/2026 17:05,132.9
8/28/2026 17:09,134.5
8/28/2026 17:12,128.5
8/28/2026 17:16,127.5
8/28/2026 17:18,125.3
8/28/2026 17:20,114.7
8/28/2026 17:22,113.7
8/28/2026 17:25,141.4
8/28/2026 17:28,138.2
8/28/2026 17:34,128.3
8/28/2026 18:18,101.6
8/28/2026 18:22,161.6
8/28/2026 18:24,144.9
8/28/2026 18:26,119.5
8/28/2026 18:28,99.1
