Timestamp,Total_Time_Seconds
2026-08-28 22:31:08,204.4
2026-08-28 22:40:56,269.5
2026-08-28 22:51:17,182.8
2026-08-28 22:55:50,157.8
2026-08-28 22:59:12,181.7
2026-08-28 23:01:41,138.0
2026-08-28 23:04:40,161.5
2026-08-28 23:08:00,188.5
2026-08-28 23:12:58,147.8
2026-08-28 23:17:31,153.7
2026-08-28 23:22:06,150.5
2026-08-28 23:34:39,136.7
2026-08-28 23:38:13,119.8
2026-08-28 23:42:12,109.0
2026-08-28 23:44:16,111.7
2026-08-28 23:46:52,142.2
2026-08-28 23:50:14,123.3
2026-08-28 23:53:00,144.9
2026-08-28 23:55:42,131.3
2026-08-29 14:18:01,119.9
