Timestamp,RMSE,Points_Used
2026-08-24 15:27:07,0.32,4
2026-08-24 15:28:45,0.33,4
2026-08-24 15:30:27,0.35,4
2026-08-24 19:34:45,0.36,4
2026-08-24 19:36:38,0.51,4
2026-08-24 19:38:06,0.53,4
2026-08-24 19:39:19,0.26,4
2026-08-24 19:42:00,0.26,4
2026-08-24 19:45:26,0.34,4
2026-08-24 20:03:15,0.38,4
2026-08-24 20:08:08,0.53,4
2026-08-24 20:10:38,0.5,4
2026-08-24 20:12:29,0.34,4
2026-08-24 20:16:02,0.34,4
2026-08-24 20:18:02,0.58,4
2026-08-24 20:19:20,0.3,4
2026-08-24 20:20:43,0.4,4
2026-08-24 20:22:10,0.31,4
2026-08-24 20:23:49,0.52,4
2026-08-24 20:25:03,0.32,4
2026-08-24 20:28:13,0.47,4
2026-08-24 20:29:37,0.3,4
2026-08-24 20:31:53,0.25,4
2026-08-24 22:56:39,0.36,4
2026-08-24 23:03:59,0.34,4
2026-08-24 23:11:55,0.35,4
2026-08-26 21:48:05,0.48,4
2026-08-26 22:20:56,0.5,4
2026-08-27 18:39:53,0.24,4
2026-08-27 19:12:45,0.42,4
2026-08-27 19:14:50,0.45,4
2026-08-27 19:18:34,0.51,4
2026-08-27 19:22:19,0.4,4
2026-08-27 19:24:58,0.42,4
2026-08-27 19:35:26,0.54,4
2026-08-27 19:37:50,0.49,4
2026-08-27 20:17:48,0.54,4
2026-08-27 20:34:17,0.46,4
2026-08-27 20:44:51,0.54,4
2026-08-27 20:48:33,0.39,4
2026-08-27 21:20:57,0.42,4
2026-08-27 21:22:46,0.46,4
2026-08-27 21:23:13,0.46,4
2026-08-27 21:24:21,0.47,4
2026-08-27 21:25:42,0.41,4
2026-08-27 21:27:44,0.37,4
2026-08-27 21:29:57,0.38,4
2026-08-27 21:32:04,0.4,4
2026-08-27 22:15:51,0.41,4
2026-08-27 22:17:50,0.37,4
2026-08-27 22:48:06,0.38,4
2026-08-27 23:19:10,0.46,4
2026-08-27 23:24:07,0.46,4
2026-08-27 23:27:15,0.32,4
2026-08-27 23:30:11,0.32,4
2026-08-28 00:20:59,0.32,4
2026-08-28 15:31:19,0.37,4
2026-08-28 15:35:02,0.52,4
2026-08-28 15:44:52,0.45,4
2026-08-28 15:47:57,0.41,4
2026-08-28 15:54:06,0.46,4
2026-08-28 17:11:48,0.31,4
2026-08-28 17:13:21,0.41,4
2026-08-28 19:03:33,0.42,4
2026-08-28 19:04:48,0.32,4
2026-08-28 19:05:57,0.35,4
2026-08-28 19:07:12,0.48,4
2026-08-28 22:09:26,0.32,4
2026-08-28 23:02:16,0.46,4
