Timestamp,Total_Time_Seconds
2026-08-28 23:27:24,212.6
2026-08-28 23:54:36,179.4
2026-08-28 23:58:03,145.6
2026-08-29 00:09:18,121.8
2026-08-29 00:23:53,132.6
2026-08-29 00:55:23,106.7
2026-08-29 01:10:24,120.2
2026-08-29 01:18:21,120.1
2026-08-29 01:24:40,105.9
2026-08-29 01:33:29,120.8
2026-08-29 02:06:34,109.8
2026-08-29 02:11:19,102.0
2026-08-29 02:18:23,102.7
2026-08-29 02:24:35,112.5
2026-08-29 02:30:42,94.8
2026-08-29 03:07:09,111.6
2026-08-29 03:10:05,105.9
2026-08-29 03:12:21,100.6
2026-08-29 03:14:31,98.7
2026-08-29 14:19:34,85.5
