Timestamp,RMSE,Points_Used
2026-08-28 22:29:49,0.18,4
2026-08-28 22:39:59,0.38,4
2026-08-28 22:50:27,0.32,4
2026-08-28 22:55:08,0.24,4
2026-08-28 22:58:31,0.21,4
2026-08-28 23:01:05,0.27,4
2026-08-28 23:03:52,0.24,4
2026-08-28 23:06:54,0.16,4
2026-08-28 23:12:17,0.2,4
2026-08-28 23:16:48,0.25,4
2026-08-28 23:21:33,0.54,4
2026-08-28 23:34:01,0.35,4
2026-08-28 23:37:48,0.26,4
2026-08-28 23:41:38,0.21,4
2026-08-28 23:43:45,0.27,4
2026-08-28 23:46:23,0.2,4
2026-08-28 23:49:47,0.25,4
2026-08-28 23:52:31,0.22,4
2026-08-28 23:55:05,0.3,4
2026-08-29 14:17:40,0.33,4
