Timestamp,RMSE,Points_Used
2026-08-27 19:05:53,0.4,4
2026-08-27 19:27:00,0.71,4
2026-08-28 02:26:03,0.82,4
2026-08-28 04:49:43,0.94,4
2026-08-28 15:15:18,0.68,4
2026-08-28 15:16:37,0.44,4
2026-08-28 15:17:35,0.65,4
2026-08-28 15:18:53,0.93,4
2026-08-28 15:20:03,0.32,4
2026-08-28 15:21:40,0.4,4
2026-08-28 15:23:13,0.58,4
2026-08-28 15:24:22,0.39,4
2026-08-28 15:25:43,0.8,4
2026-08-28 15:26:44,0.56,4
2026-08-28 15:27:48,0.38,4
2026-08-28 17:07:28,0.73,4
2026-08-28 23:53:47,0.37,4
2026-08-28 23:55:12,0.63,4
2026-08-28 23:57:11,0.94,4
2026-08-28 23:58:14,0.72,4
2026-08-29 01:13:08,0.64,4
2026-08-29 01:14:46,0.75,4
2026-08-29 01:16:03,0.53,4
2026-08-29 01:17:20,0.5,4
2026-08-29 14:16:09,0.26,4
