Timestamp,RMSE,Points_Used
2026-08-28 23:26:17,0.58,4
2026-08-28 23:53:32,0.43,4
2026-08-28 23:57:12,0.41,4
2026-08-29 00:08:35,0.35,4
2026-08-29 00:23:04,0.18,4
2026-08-29 00:54:46,0.35,4
2026-08-29 01:09:44,0.31,4
2026-08-29 01:17:40,0.27,4
2026-08-29 01:24:01,0.25,4
2026-08-29 01:32:47,0.23,4
2026-08-29 02:05:58,0.44,4
2026-08-29 02:10:42,0.22,4
2026-08-29 02:17:52,0.28,4
2026-08-29 02:23:59,0.3,4
2026-08-29 02:30:06,0.19,4
2026-08-29 03:06:37,0.33,4
2026-08-29 03:09:31,0.28,4
2026-08-29 03:11:48,0.27,4
2026-08-29 03:13:56,0.22,4
2026-08-29 14:19:13,0.31,4
